"name","n"
"Sequoia Capital China",9
"Andreessen Horowitz",4
"Insight Partners",4
"Tencent Holdings",4
"Goldman Sachs",3
"IDG Capital",3
"Khosla Ventures",3
"New Enterprise Associates",3
"Venrock",3
"Battery Ventures",2
"ClalTech",2
"Eclipse Ventures",2
"FirstMark Capital",2
"General Atlantic",2
"Georgian Partners",2
"Global Founders Capital",2
"Google Ventures",2
"Greycroft",2
"IA Ventures",2
"Ignition Partners",2
"Intel Capital",2
"Norwest Venture Partners",2
"Qiming Venture Partners",2
"Russia-China Investment Fund",2
"Sinovation Ventures",2
"Tiger Global Management",2
"Y Combinator",2
"ZhenFund",2
"5Y Capital",1
"Accel",1
"Accomplice",1
"Activant Capital Group",1
"Aglae Ventures",1
"Alaska Permanent Fund",1
"Alibaba Group",1
"Alkeon Capital Management",1
"Alven Capital",1
"Amadeus Capital Partners",1
"AME Cloud Ventures",1
"Ant Financial Services Group",1
"August Capital",1
"Aviv Venture Capital",1
"Baidu Ventures",1
"Baillie Gifford & Co.",1
"Bain & Company",1
"Bank of China",1
"Banyan Capital",1
"Bessemer Venture Partners",1
"Big Bets",1
"BlackRock",1
"BOC International",1
"Boyu Capital",1
"Caterpillar",1
"Cathay Innovation",1
"Chengwei Capital",1
"China Construction Bank",1
"China Internet Investment Fund",1
"CICC ALPHA",1
"Citi Ventures",1
"Crane Venture Partners",1
"CRV",1
"D1 Capital Partners",1
"DC Thomson Ventures",1
"DCM Ventures",1
"Dell Technologies Capital",1
"DESUN Capital",1
"DSC Investments",1
"Eight Roads Ventures",1
"Emergence Capital Partners",1
"FANUC",1
"Fidelity Investments",1
"Ford Autonomous Vehicles",1
"Forerunner Ventures",1
"Foundation Capital",1
"Founders Fund",1
"Foxconn Technology Company",1
"FutureX Capital",1
"GAM Holding",1
"General Catalyst",1
"Global Catalyst Partnera",1
"Glory Ventures",1
"Greylock Partners",1
"Griffin Gaming Partners",1
"Group GSR Ventures",1
"GSR Ventures",1
"Guangdong Technology Financial Group",1
"Hillhouse Capital Management",1
"HOF Capital",1
"Homebrew",1
"Hongxiu VC",1
"Hopu Investment Management",1
"Index Ventures",1
"Infore Capital",1
"Initialized Capital",1
"Innovation Endeavors",1
"Insights Partners",1
"Institutional Venture Partners",1
"Kaszek Ventures",1
"KKR",1
"Kleiner Perkins Caufield & Byers",1
"KTB Ventures",1
"Lenovo Capital and Incubator",1
"Lerer Hippeau",1
"Lightspeed China Partners",1
"Lightspeed Venture Partners",1
"Linear Venture",1
"Madera Technology Partners",1
"Madrona Venture Group",1
"Maniv Mobility",1
"March Capital Partners",1
"Menlo Ventures",1
"Meridian Capital",1
"Mizuho Financial Group",1
"Moore Capital Management",1
"Morningside Venture Capital",1
"Munich Re Ventures",1
"Next World Capital",1
"Nexus Venture Partners",1
"NJF Capital",1
"Northern Light Venture Capital",1
"Oriza Holdings",1
"Oryzn Capital",1
"Pitango Venture Capital",1
"Point72 Ventures",1
"Qualcomm Ventures",1
"Revolution",1
"Revolution Ventures",1
"RRE Ventures",1
"Sapphire Ventures",1
"Sequoia Capital",1
"Shea Ventures",1
"SIG Asia Investments",1
"Sina Weibo",1
"Smilegate Investment",1
"Social Capital",1
"Softbank Group",1
"SoftBank Group",1
"SOFTBANK Latin America Ventures",1
"SOSV",1
"Spark Capital",1
"Star VC",1
"TDK Ventures",1
"Tencent",1
"Tiger Global",1
"Tomales Bay Capital",1
"TopoScend Capital",1
"Toyota Motor Corporation",1
"Transamerica Ventures",1
"Union Square Ventures",1
"Vcanbio",1
"Version One Ventures",1
"Vertex Ventures",1
"Viola Ventures",1
"Vision Plus Capital",1
"Volkswagen Group",1
"Walden Venture Capital",1
"Wing Venture Capital",1
"Woodford Investment Management",1
"Xiaomi",1
"Yunfeng Capital",1
