"name","n"
"Tencent Holdings",3
"Tiger Global Management",3
"Hillhouse Capital Management",2
"Horizons Ventures",2
"Khosla Ventures",2
"Sequoia Capital China",2
"Thrive Capital",2
"468 Capital",1
"Ajinomoto",1
"Alibaba Group",1
"AME Cloud Ventures",1
"Berkshire Partners",1
"Borui Capital",1
"Boyu Capital",1
"CDIB Capital",1
"China Capital Investment Group",1
"CMB International Capital",1
"Crowdcube",1
"Eurazeo",1
"Forerunner Ventures",1
"Founders Fund",1
"Gaorong Capital",1
"Global Asset Capital",1
"Global Founders Capital",1
"IFC",1
"Insight Venture Partners",1
"Institutional Venture Partners",1
"L Capital Partners",1
"Longfor Capitalm",1
"Matrix Partners China",1
"Meituan Dianping",1
"Norwest Venture Partners",1
"One Luxury Group",1
"Redalpine Venture Partners",1
"SIG Asia Investments",1
"SignalFire",1
"Softbank Group",1
"Sound Ventures",1
"Source Code Capital",1
"Tao Capital Partners",1
"Temasek",1
"Temasek Holdings",1
"Tiantu Capital",1
"TPG Growth",1
"TSG Consumer Partners",1
"Vision Knight Capital",1
"Xingwang Investment Management",1
"Yunfeng Capital",1
"ZhenFund",1
