"name","n"
"Sequoia Capital China",4
"IDG Capital",3
"Sequoia Capital",3
"Alibaba Group",2
"Andreessen Horowitz",2
"Green Pine Capital Partners",2
"Hillhouse Capital Management",2
"Playground Global",2
"Tencent Holdings",2
"01 Advisors",1
"Accel Partners",1
"Aleph",1
"Amiti Ventures",1
"Aviation Industry Corporation of China",1
"Baidu",1
"Benchmark",1
"BlackRock",1
"BlueRun Ventures",1
"Bond",1
"CDH Investments",1
"Cedarlake Capital",1
"Centurium Capital",1
"China Everbright Limited",1
"China International Capital Corporation",1
"Coatue Management",1
"Delian Capital",1
"Delta Capital",1
"DFJ Growth Fund",1
"Digital Currency Group",1
"Draper Esprit",1
"Essence Financial",1
"Foundation Capital",1
"Founders Fund",1
"Foundry Group",1
"Galaxy Digital",1
"General Catalyst",1
"Georgian Co-Investment Fund",1
"GF Xinde Investment Management Co.",1
"Goldman Sachs",1
"Goldman Sachs Asset Management",1
"Goldstone Investments",1
"Google Ventures",1
"Grand Flight Investment",1
"Haitong Leading Capital Management",1
"IDG Capital Partners",1
"iFLYTEK",1
"iTech Capital",1
"Jiangsu Sha Steel Group",1
"Khosla Ventures",1
"Korelya Capital",1
"Lerer Hippeau",1
"Linear Venture",1
"M12",1
"Meituan Dianping",1
"Obvious Ventures",1
"Pitango Venture Capital",1
"Qiming Venture Partners",1
"Qualcomm Ventures",1
"R-Z Capital",1
"Redpoint Ventures China",1
"SAIF Partners China",1
"Scale Venture Partners",1
"SDP Investment",1
"Shenzhen Capital Group",1
"SOSV",1
"Telling Telecommunication Holding Co.",1
"Tiger Global Management",1
"TPG Growth",1
"Unicom Innovation Venture Capital",1
"Upfront Ventures",1
"V FUND",1
"V Star Capital",1
"Vertex Ventures China",1
"Volcanics Ventures",1
"Wakefield Group",1
"Warburg Pincus",1
"Warmsun Holding",1
