"name","n"
"General Catalyst",4
"New Enterprise Associates",4
"Thrive Capital",4
"Venrock",4
"Accel",3
"Founders Fund",3
"Initialized Capital",3
"Khosla Ventures",3
"Sequoia Capital",3
"Sound Ventures",3
"Andreessen Horowitz",2
"ARCH Venture Partners",2
"Data Collective",2
"DCM Ventures",2
"F-Prime Capital",2
"Felicis Ventures",2
"Google Ventures",2
"Index Ventures",2
"Insight Partners",2
"Kleiner Perkins Caufield & Byers",2
"Lightspeed Venture Partners",2
"Oak HC/FT Partners",2
"OrbiMed Advisors",2
"Qiming Venture Partners",2
"14W",1
"8VC",1
"Afore Capital",1
"Ally Bridge Group",1
"Alta Partners",1
"and Sequoia Capital China",1
"Artis Ventures",1
"Asset Management Ventures",1
"Atomico",1
"B Capital Group,",1
"Battery Ventures",1
"Bertelsmann Asia Investments",1
"Blackstone",1
"Bling Capital",1
"BlueCross BlueShield Venture Partners",1
"BPI France",1
"Brookfield Asset Management",1
"Caffeinated Capital",1
"Cambridge Innovation Capital",1
"Canaan Partners",1
"Casdin Capital",1
"Charter Venture Capital",1
"China Development Bank Capital",1
"China Health Industry Investment Fund",1
"China Investment Corporation",1
"China Life Insurance",1
"China Renaissance",1
"Chiratae Ventures",1
"CITIC Securities International",1
"Coatue Management",1
"Creandum",1
"CVF Capital Partners",1
"Drive Capital",1
"Durable Capital Partners",1
"Echo Health Venturesl",1
"Epiq Capital",1
"EQT Partners",1
"Escala Capital",1
"Female Founders Fund",1
"G Squared",1
"GE Healthcare",1
"GE Ventures",1
"Goldman Sachs",1
"Green Innovations",1
"Green Pine Capital Partners",1
"Greenoaks Capital Management",1
"Greylock Partners",1
"Highland Capital Management",1
"Hinduja Group",1
"Hummingbird Ventures",1
"IA Ventures",1
"IKEA GreenTech",1
"Ivy Capital",1
"Jackson Square Ventures",1
"Johnson & Johnson Innovation",1
"Kalaari Capital",1
"Kerala Ventures",1
"Kickstart Fund",1
"Koch Disruptive Technologies",1
"LGT Capital Partners",1
"Lightbank",1
"Lindeman Asia Investment",1
"M12",1
"Mangrove Capital Partners",1
"Maverick Ventures",1
"Maveron",1
"Max Ventures",1
"Mayfield",1
"McKesson Ventures",1
"Merieux Equity Partners",1
"Morningside Group",1
"New Leaf Venture Partners",1
"Newpath Partners",1
"Nextech Invest",1
"NFX",1
"Nichi-Iko Pharmaceutical",1
"NIO Capital",1
"Northzone Ventures",1
"Obvious Ventures",1
"Optum Ventures",1
"Plum Alley",1
"Providence Ventures",1
"Qualcomm Ventures",1
"Questa Capital",1
"Redpoint Ventures",1
"Rethink Impact",1
"RRE Ventures",1
"Samsung Ventures",1
"Sands Capital",1
"Sequoia Capital China",1
"Sequoia Capital India",1
"Sierra Ventures",1
"SignalFire",1
"Silver Lake",1
"Sixth Street Partners",1
"Softbank Group",1
"Starr Investment Holdings",1
"Straumann",1
"Summit Partners",1
"T. Rowe Associates",1
"T. Rowe Price",1
"Tencent",1
"Tencent Holdings",1
"TI Platform Management",1
"Tiger Global Management",1
"Transformation Capital",1
"US Venture Partners",1
"Vickers Venture Partners",1
"Viking Global Investors",1
"Vitruvian Partners",1
"Warburg Pincus",1
"WestBridge Capital",1
"WestCap Group",1
"Work-Bench",1
"York Capital Management",1
