"name","n"
"DCM Ventures",3
"Andreessen Horowitz",2
"Atomico",2
"IDG Capital",2
"Insight Partners",2
"Kleiner Perkins Caufield & Byers",2
"Morningside Venture Capital",2
"Northern Light Venture Capital",2
"Redpoint Ventures",2
"Sequoia Capital",2
"Sequoia Capital China",2
"Tiger Global Management",2
"Y Combinator",2
"3G Capital Management",1
"5Y Capital",1
"Accel",1
"Alibaba Group",1
"Andalusian Capital Partners",1
"Bertelsmann Asia Investments",1
"Bessemer Venture Partners",1
"Blue Label Telecoms",1
"Blue Lake Capital",1
"CDH Investments",1
"Chengwei Capital",1
"China Broadband Capital",1
"China Creation Ventures",1
"Cowboy Ventures",1
"CR Capital Mgmt",1
"Draper Fisher Jurtson",1
"DST Global",1
"Eniac Ventures",1
"Fifty Years Fund",1
"Formation 8",1
"FundersClub",1
"Gaorong Capital",1
"GGV Capital",1
"Ginko Ventures",1
"Globis Capital Partners",1
"Google",1
"Greycroft",1
"Haitong Kaiyuan Investment",1
"Index Ventures",1
"Innova Capital - FIP",1
"Inova Ventures Participacees",1
"Intel Capital",1
"Japan Post Capital",1
"JD Digits",1
"Kuang-Chi",1
"Legend Capital",1
"Magma Venture Partners",1
"Makers Fund",1
"N5 Capital",1
"Net1 UEPS Technologies",1
"New Enterprise Associates",1
"NextView Ventures",1
"Nintendo",1
"One Equity Partners",1
"Pear",1
"Phoenix New Media",1
"Pitango Venture Capital",1
"Pokemon Company International",1
"Prosus Ventures",1
"Qiming Venture Partners",1
"QiMing Venture Partners",1
"Qualcomm Ventures",1
"Qumra Capital",1
"Refactor Capital",1
"Revolution Growth",1
"Sands Capital",1
"Sherpalo Ventures",1
"Shunwei Capital Partners",1
"Sierra Ventures",1
"Sina Weibo",1
"Social Capital",1
"Softbank Corp.",1
"SoftBank Group",1
"Spark Capital",1
"Tianjin Haihe Industry Fund",1
"TQ Ventures",1
"Walden International",1
"Xingwang Investment Management",1
"Zhangjiang Haocheng Venture Capital",1
"ZhenFund",1
