"name","n"
"Goldman Sachs",4
"General Atlantic",3
"Tencent Holdings",3
"Accel",2
"Advent International",2
"Andreessen Horowitz",2
"Bessemer Venture Partners",2
"Bond",2
"Caffeinated Capital",2
"Google Ventures",2
"KKR",2
"Sequoia Capital China",2
"Upfront Ventures",2
"3i Group",1
"500 Startups",1
"A&NN",1
"Alexandria Venture Investments",1
"Alibaba Pictures Group",1
"Astanor Ventures",1
"BA Capital",1
"Barter Ventures",1
"Benchmark",1
"Blackrock",1
"Breakthrough Energy Ventures",1
"Bregal Sagemount",1
"C5 Capital",1
"Capital Today",1
"Capricorn Investment Group",1
"Carsales",1
"China Prosperity Capital",1
"CJ ENM",1
"Coatue Management",1
"Cool Japan Fund",1
"Data Collective",1
"Draper Fisher Jurvetson",1
"EXOR Seeds",1
"Falcon Edge Capital",1
"Fashion Tech Lab",1
"Fidelity Investment",1
"Fidelity Investments",1
"Flagship Pioneering",1
"Founders Fund",1
"General Catalyst",1
"H Capital",1
"Hemisphere Ventures",1
"Honeywell",1
"Huagai Capital",1
"IDG Capital",1
"IDInvest Partners",1
"Inclusive Capital Partners",1
"Investment Corporation of Dubai",1
"Invus Group",1
"JAFCO",1
"K2 Global",1
"KCK Group",1
"Kleiner Perkins Caulfield & Byers",1
"Leonardo DiCaprio",1
"Lockheed Martin Ventures",1
"Matrix Partners",1
"Max Ventures",1
"Mayfair Equity Partners",1
"Mitsubishi Corporation",1
"New Enterprise Associates",1
"Norwest Venture Partners",1
"O'Reilly AlphaTech Ventures",1
"OLX Group",1
"Playground Global",1
"Promecap",1
"Raven One Ventures",1
"RedBird Capital Partners",1
"Revolution Growth",1
"Rhone Capital",1
"RiverPark Ventures",1
"Rothenberg Ventures",1
"Rubicon Technology Partners",1
"Rusnano",1
"Sequoia Capital",1
"Sequoia Capital India",1
"Silver Lake Partners",1
"SK Ventures",1
"Smash Ventures",1
"SoftBank Group",1
"Sozo Ventures",1
"Sutter Hill Ventures",1
"SWaN & Legend Ventures",1
"T. Rowe Price",1
"Tao Capital Partners",1
"Temasek",1
"Temasek Holdings",1
"Tencent",1
"Tencent Investment",1
"The Carlyle Group",1
"The Venture Collective",1
"Threshold Ventures",1
"Tiger Global Management",1
"TowerBrook Capital Partners",1
"Trane Technologies",1
"Tribe Capital",1
"Undisclosed",1
"Upper90",1
"Valor Equity Partners",1
"Vast Ventures",1
"Vattenfall",1
"Volkswagen Group",1
"Warburg Pincus",1
"WRVI Capital",1
"XBTO Ventures",1
"Y Combinator",1
