"name","n"
"DST Global",4
"Andreessen Horowitz",3
"Google Ventures",3
"Sequoia Capital China",3
"SoftBank Group",3
"8VC",2
"Accel",2
"Founders Fund",2
"GLP Capital Partners",2
"Index Ventures",2
"Kleiner Perkins Caufield & Byers",2
"Lakestar",2
"Sequoia Capital",2
"Source Code Capital",2
"Accel India",1
"Accelm Scania Growth Capital",1
"Activant Capital",1
"Aleph",1
"Alibaba Group",1
"B Capital Group",1
"Baillie Gifford & Co.",1
"BECO Capital",1
"Bessemer Venture Partners",1
"BGF Ventures",1
"Blackstone",1
"Bloomberg Beta",1
"Boyu Capital",1
"capitalG",1
"CE-Ventures",1
"Cherry Ventures",1
"Chicago Ventures",1
"Co-Energy Finance",1
"Coatue Management",1
"Collaborative Fund",1
"DCM Ventures",1
"Ding Xiang Capital",1
"Dynamic Parcel Distribution",1
"Dynamo VC",1
"Eastern Bell Capital",1
"Emergence Capital Partners",1
"eWTP Capital",1
"First Round Capital",1
"Global Founders Capital",1
"Global Logistic Properties",1
"GM Ventures",1
"Goldman Sachs",1
"Goodwater Capital",1
"Grandland",1
"Greylock Partners",1
"Hillhouse Capital Management",1
"Hyde Park Venture Partners,	FundersClub. Bain Capital Ventures",1
"ICONIQ Capital",1
"IDInvest Partners",1
"iFly",1
"Innovation Endeavors",1
"InnoVision Capital",1
"Insight Venture Partners",1
"Institutional Venture Partners",1
"International Finance Corporation",1
"iVision Ventures",1
"JD Capital Management",1
"Just Eat",1
"K2VC",1
"Khosla Ventures",1
"KKR",1
"Krungsri Finnovate",1
"Launchpad Venture Group",1
"Lightrock",1
"Lightspeed Venture Partners",1
"Matrix Partners China",1
"Microsoft ScaleUp",1
"MindWorks Ventures",1
"MMC Ventures",1
"Monk's Hill Ventures",1
"Movile",1
"Mubadala Capital",1
"Naspers",1
"New Hope Fund",1
"next47",1
"Nexus Venture Partners",1
"Nordstar",1
"Northzone Ventures",1
"Norwest Venture Partners",1
"Partech Partners",1
"Pereg Ventures",1
"Prometheus Capital",1
"QC Capital",1
"QF Capital",1
"Qianhai Fund of Funds",1
"Quadrille Capital",1
"Qualcomm Ventures",1
"Redpoint e.ventures",1
"Robert Bosch Venture Capital",1
"SAIF Partners",1
"SAIF Partners India",1
"Salesforce Ventures",1
"Sands Capital",1
"Scale Venture Partners",1
"SCB 10X",1
"Seaya Ventures",1
"SeptWolves Ventures",1
"Sequoia Capital India",1
"SF Holding Co",1
"Shenzhen Capital Group",1
"Shunwei Capital Partners",1
"SignalFire",1
"Sino-Ocean Capital",1
"Softbank Group",1
"SoftBank Group. Monashees+",1
"STO Express",1
"Susa Ventures",1
"Target Global",1
"Temasek",1
"Tiger Global Management",1
"Times Internet",1
"Trifecta Capital Advisors",1
"UBS Asset Management",1
"Uncork Capital",1
"Unicom Innovation Venture Capital",1
"Unilever Ventures",1
"Valor Capital Group",1
"VentureSouth",1
"Version One Ventures",1
"Warburg Pincus",1
"Xiang He Capital",1
"XVC Venture Capital",1
"Y Combinator",1
"Yunqi Partners",1
