"name","n"
"Capital Today",2
"Spark Capital",2
"Andreessen Horowitz",1
"Battery Ventures",1
"Capital One Growth Ventures",1
"Citi Ventures",1
"East Ventures",1
"Expedia Inc.",1
"General Atlantic",1
"GGV Capital",1
"GIC",1
"Global Founders Capital",1
"Goldman Sachs",1
"Greylock Partners",1
"Highland Europe",1
"JOY Capital",1
"Lakestar",1
"Lightspeed Venture Partners",1
"Matrix Partners China",1
"Morningside Ventures",1
"New Enterprise Associates",1
"Northzone Ventures",1
"Novator Partners",1
"OMERS Ventures",1
"Partners Investment",1
"Qiming Venture Partners",1
"QiMing Venture Partnersl",1
"SBI Investment Korea",1
"Sequoia Capital China",1
"Sequoia Capital India,Lightspeed India Partners",1
"SoftBank Group",1
"Structure Capital",1
"Sunstone Capital",1
"White Star Capital",1
"Zeev Ventures",1
