"name","n"
"SoftBank Group",4
"Accel Partners",2
"Qiming Venture Partners",2
"83North",1
"Access Industries",1
"Altos Ventures",1
"Ant Financial Services Group",1
"Atop Capital",1
"Automobile Industry Guidance Fund",1
"Baidu Capital",1
"Bain Capital",1
"Bank Of China Group Investment,",1
"BMW i Ventures",1
"China Environmental Protection Industry",1
"China Fortune Land Development",1
"China Fortune Ocean",1
"China Grand Prosperity Investment",1
"China Media Group",1
"China State Capital Venture Capital Fund",1
"CreditEase Fintech Investment Fund",1
"CSC Group",1
"Delphi Automotive",1
"Diamler",1
"Didi Chuxing",1
"Far East Horizon",1
"FAW Group",1
"Funa Yuanchuang Technology",1
"Gaorong Capital",1
"Geely",1
"General Atlantic",1
"GGV Capital",1
"Gopher Asset Management",1
"Greylock Partners",1
"Guangzhou Huiyin Aofeng Equity Investment Fund",1
"HD Capital",1
"Holtzbrinck Ventures",1
"IDG Capital",1
"IDInvest Partners",1
"Index Ventures",1
"Insight Venture Partners",1
"Jiangsu Sha Steel Group",1
"Legend Capital",1
"Linear Venture",1
"LTW Capital",1
"Matrix Partners India",1
"Motus Ventures",1
"Otter Rock Capital",1
"People Electrical Appliance Group China",1
"Pitango Venture Capital",1
"Qihoo 360 Technology",1
"Qualcomm Ventures",1
"Rakuten",1
"RiverPark Ventures",1
"Samsung Ventures",1
"SDIC CMC Investment Management",1
"SDIC Innovation Investment Management",1
"Seaya Ventures",1
"Sequoia Capital",1
"Sequoia Capital China",1
"Shang Qi Capital",1
"Shanghai Electric Group",1
"Shanghai Puyin Industry",1
"Shunwei Capital Partners",1
"SIG Asia Investments",1
"Songhyun Investment",1
"Tencent",1
"Tencent Holdings",1
"Tiger Global Management",1
"TMT Investments",1
"Tus Holdings",1
"Unternehmertum Venture Capital",1
"Volkswagen",1
"Vostok New Ventures",1
"Yaxia Automobile",1
"Yunfeng Capital",1
"Zhongrong International Trust",1
