"name","n"
"Insight Partners",5
"Lightspeed Venture Partners",5
"Accel",4
"Commerce Ventures",3
"GGV Capital",3
"Index Ventures",3
"Scale Venture Partners",3
"Sequoia Capital",3
"Aspect Ventures",2
"Bessemer Venture Partners",2
"BOLDstart Ventures",2
"Coatue Management",2
"Flint Capital",2
"General Catalyst",2
"Greylock Partners",2
"M12",2
"Redpoint Ventures",2
"Two Sigma Ventures",2
"3L",1
"Accel Partners",1
"Acero Capital",1
"Advantech Capital",1
"AllegisCyber Capital",1
"American Express Ventures",1
"Andreessen Horowitz",1
"Bain Capital Ventures",1
"BDC Venture Capital",1
"Benchmark",1
"Blu Venture Investors",1
"Blumberg Capital",1
"BoxGroup",1
"Cowboy Ventures",1
"CRV",1
"Data Collective",1
"DataTribe",1
"Dila Capital",1
"Emerge",1
"Energy Impact Partners",1
"First Round Capital",1
"Flybridge Capital Partners",1
"Formation 8",1
"Foundation Capital",1
"Founders Fund",1
"Framework Ventures",1
"FTV Capital",1
"General Atlantic",1
"General Catalyst Partners",1
"Goldman Sachs",1
"Google Ventures",1
"Greycroft",1
"Innovation Endeavors",1
"Ireland Strategic Investment Fund",1
"KKR",1
"Leaders Fund",1
"Liberty Global Ventures",1
"Lowercase Capital",1
"Menlo Ventures",1
"Moonshots Capital",1
"MoreVC",1
"next47",1
"Nor-Cal Invest",1
"Norwest Venture Partners",1
"Paladin Capital Group",1
"Pantera Capital",1
"Paradigm",1
"Pelion Venture Partners",1
"s28 Capital",1
"SAP.iO Fund",1
"Sequoia Capital Israel",1
"SingTel Innov8",1
"Skip Capital",1
"Slack Fund",1
"Social Capital",1
"SoftBank Group",1
"Spark Capital",1
"Sutter Hill Ventures",1
"Team8",1
"Temasek Holdings Ltd.",1
"Ten Eleven Ventures",1
"Thoma Bravo",1
"Thrive Capital",1
"Tiantu Capital Co.",1
"TLV Partners",1
"TPG Alternative & Renewable Technologies",1
"TPG Growth",1
"VebVentures",1
"Vertex Ventures Israel",1
"Viking Global Investors",1
"Vintage Investment Partners",1
"Warburg Pincus",1
"YL Ventures",1
