"name","n"
"Andreessen Horowitz",6
"Battery Ventures",4
"Insight Partners",4
"Lightspeed Venture Partners",4
"Sequoia Capital",4
"Bain Capital Ventures",3
"Dell Technologies Capital",3
"General Atlantic",3
"Greylock Partners",3
"Accel",2
"General Catalyst",2
"Google Ventures",2
"Index Ventures",2
"Lux Capital",2
"New Enterprise Associates",2
"Norwest Venture Partners",2
"Salesforce Ventures",2
"Sapphire Ventures",2
".406 Ventures",1
"83North",1
"Advent International",1
"Aker",1
"Alibaba Group",1
"Almaz Capital Partners",1
"Altimeter Capital",1
"Amplify Partners",1
"Auriga",1
"Bain Capital Tech Opportunities",1
"Benchmark",1
"Bessemer Venture Partners",1
"BlackRock",1
"Boxin Capital",1
"China Everbright Investment Management",1
"Coatue Management",1
"Creandum",1
"Crosslink Capital",1
"DT Capital Partners",1
"Eight Roads Ventures",1
"FirstMark Capital",1
"Foundry Group",1
"Galeo Ventures",1
"Genesis Partners",1
"Goldman Sachs",1
"Helion Venture Partners",1
"Highland Capital Partners",1
"Highland Europe",1
"ICONIQ Capital",1
"IDG Capital",1
"Intel Capital",1
"Khosla Ventures",1
"Kibo Ventures",1
"Kleiner Perkins Caufield & Byers",1
"Madrona Venture Group",1
"Matrix Partners",1
"Nexus Venture Partners",1
"One Peak Partners",1
"Opus Capital",1
"Perpetual Investors",1
"Redpoint Ventures",1
"Scale Venture Partners",1
"Sequoia Capital India",1
"Silversmith Capital Partners",1
"SoftBank Group",1
"Technology Crossover Ventures",1
"Tenaya Capital",1
"Vertex Ventures",1
"Viola Ventures",1
"Walden International",1
"Wing Venture Capital",1
"Wipro Ventures",1
"Yinxinggu Capital",1
