"name","n"
"Accel",9
"Sequoia Capital China",9
"SoftBank Group",8
"DST Global",6
"Andreessen Horowitz",5
"Matrix Partners China",5
"Sequoia Capital",5
"Tiger Global Management",5
"General Atlantic",4
"GGV Capital",3
"IDG Capital",3
"Sequoia Capital India",3
"Tencent",3
"Tencent Holdings",3
"Warburg Pincus",3
"58.com",2
"Baidu",2
"BlackRock",2
"Coatue Management",2
"Comcast Ventures",2
"Eastern Bell Capital",2
"Eurazeo",2
"General Catalyst",2
"Golden Gate Ventures",2
"Google Ventures",2
"Greycroft",2
"K2 Ventures",2
"K2VC",2
"Kaszek Ventures",2
"Mayfield Fund",2
"Monashees+",2
"New Enterprise Associates",2
"New Horizon Capital",2
"NextView Ventures",2
"Prosus Ventures",2
"SAIF Partners China",2
"Shunwei Capital Partners",2
"Softbank Group",2
"Temasek Holdings",2
"ZhenFund",2
"3one4 Capital Partners",1
"500 Global",1
"500 Startups",1
"5Y Capital",1
"83North",1
"ACE & Company",1
"Addor Capital",1
"Affirma Capital",1
"Aglae Ventures",1
"Alibaba Group",1
"Alibaba Group,Co-Stone Venture Capital",1
"Alkeon Capital Management",1
"Alliance Consumer Growth",1
"Alpha JWC Ventures",1
"Anthos Capital",1
"Ardian",1
"Atlantic Food Labs",1
"Avenir Growth Capital",1
"Aviation Industry Corporation of China",1
"Baillie Gifford & Co.",1
"Bain Capital",1
"Balderton Capital",1
"Ballast Point Ventures",1
"Banyan Capital",1
"Battery Ventures",1
"Benchmark",1
"Bertelsmann India Investments",1
"Bessemer Venture Partners",1
"Blackrock",1
"Blueflame Capital",1
"BMW i Ventures",1
"Bond",1
"Bright Venture Capita",1
"Buhuo Venture Capital",1
"Burda Principal Investments",1
"Capital Today",1
"Casa Verde Capital",1
"Causeway Media Partners",1
"CDH Investments",1
"Ceyuan Ventures",1
"Chiratae Ventures",1
"CreditEase Fintech Investment Fund",1
"D1 Capita Partners",1
"D1 Capital Partners",1
"Daphni",1
"Elaia Partners",1
"Eleation Capital",1
"Elevation Capital",1
"Falcon Edge Capital",1
"Felix Capital",1
"FinSight Ventures",1
"Flybridge Capital Partners",1
"Forerunner Ventures",1
"Founder H Fund",1
"Foundry Group",1
"Global Founders Capital",1
"Gobi Partners",1
"Google Capital",1
"GP Capital",1
"Greenoaks Capital Management",1
"Greylock Partners",1
"Gron Ventures",1
"GX Capital",1
"Highland Capital Partners",1
"Hillhouse Capital Management",1
"Hongtai Capital Holdings",1
"Huasheng Capital",1
"IDG Capital Partners",1
"IDInvest Partners",1
"Imaginary Ventures",1
"IMM Investment",1
"Index Ventures",1
"iNovia Capital",1
"Insight Partners",1
"JOY Capital",1
"Jungle Ventures",1
"Khosla Ventures,General Catalyst",1
"Kinnevik",1
"KKR",1
"L Catterton",1
"L'Occitane",1
"Legend Capital",1
"Lerer Hippeau Ventures",1
"Lightbox Ventures",1
"Lightspeed China Partners",1
"Lightspeed Venture Partners",1
"Loeb.NYC",1
"Lone Pine Capital",1
"Longzhu Capital",1
"M13",1
"Marchmont Ventures",1
"Matrix Partners",1
"Matrix Partners India",1
"Merrysunny Wealth",1
"MHS Capital",1
"Mithril",1
"Moore Strategic Ventures",1
"Morningside Ventures",1
"Mountain Nazca",1
"Mubadala Capital",1
"Newsion Venture Capital",1
"Next Coast Ventures",1
"Nexus Venture Partners",1
"NIO Capital",1
"Norwest Venture Partners",1
"Novator Partners",1
"NXC",1
"Ondine Capital",1
"Partech Partners",1
"Passport Capital",1
"Piton Capital",1
"PremjiInvest",1
"Promus Ventures",1
"Prysm Capital",1
"Qatar Holding",1
"QED Investors",1
"Qiming Venture Partners",1
"QiMing Venture Partners",1
"Qualcomm Ventures",1
"Rakuten Ventures",1
"Revo Capital",1
"Rho Ventures",1
"Rich Land Capital",1
"Richland Equities",1
"SAIF Partners India",1
"Shasta Ventures",1
"Shenzhen Capital Group",1
"Silverton Partners",1
"SingTel Innov8",1
"Sky9 Capital",1
"Softbank",1
"SoftBankGroup",1
"SoGal Ventures",1
"Sound Ventures",1
"Speedinvest",1
"Standard Chartered",1
"Summit Partners",1
"Sunley House Capital Management",1
"T. Rowe Price",1
"TDM Growth Partners",1
"Technology Crossover Ventures",1
"The Carlyle Group",1
"Thirty Five Ventures",1
"Thrity Five Ventures",1
"Thrive Capital",1
"Tiantu Capital",1
"Tiger Global",1
"Tiger Global management",1
"Trifecta Capital",1
"True",1
"Two Sigma Ventures",1
"U.S.-China Green Fund",1
"Uniqa Ventures",1
"Upfront Ventures",1
"Valar Ventures",1
"Valiant Capital Partners",1
"Venture Highway",1
"Vertex Ventures SE Asia",1
"Victory Park Capital",1
"VY Capital",1
"Webb Investment Network",1
"Western Capital Management",1
"Wonder Ventures",1
"Y Combinator",1
"Zheshang Venture Capital",1
