"name","n"
"Sequoia Capital China",5
"Tencent Holdings",4
"IDG Capital",3
"Sequoia Capital India",3
"Accel",2
"Tiger Global Management",2
"Trustbridge Partners",2
"Aleph",1
"Alibaba Group",1
"Altos Ventures",1
"Anthos Capital",1
"Artiman Ventures",1
"Baidu",1
"Bertelsmann India Investments",1
"Blackstone",1
"Blume Ventures",1
"Canaan Partners",1
"China Minsheng Investment",1
"Coatue Management",1
"Costanoa Ventures",1
"DN Capital",1
"Fosun RZ Capital",1
"General Atlantic",1
"Genesis Partners",1
"GGV Capital",1
"Hillhouse Capital Management",1
"Hony Capital",1
"Hundreds Capital",1
"Iconiq Capital",1
"ICONIQ Growth",1
"Insight Partners",1
"Institutional Venture Partners",1
"Javelin Venture Partners",1
"Jump Capital",1
"Left Lane Capital",1
"Legend Star",1
"Lightspeed India Partners",1
"Lightspeed Venture Capital",1
"Matrix Partners China",1
"Maveron",1
"New Enterprise Associates",1
"NewView Capital",1
"Nexus Venture Partners",1
"Oceanwide Holdings",1
"Omidyar Network",1
"Owl Ventures",1
"Plug and Play Ventures",1
"Qiming Venture Partners",1
"QiMing Venture Partners",1
"Qualcomm Ventures",1
"Ridge Ventures",1
"Shenzhen Qianhe Capital Management Co.",1
"Signal Peak Ventures",1
"Silverlink Capital",1
"Sinovation Ventures",1
"Softbank",1
"Source Code Capital",1
"TAL Education Group",1
"Temasek Holdings",1
"Uniion Square Ventures",1
"Union Square Ventures",1
"Wanxin Media",1
"Warbug Pincus",1
"Xiang He Capital",1
"XVC Venture Capital",1
