"name","n"
"Tiger Global Management",14
"Accel",10
"DST Global",9
"Insight Partners",9
"Ribbit Capital",8
"Sequoia Capital",8
"General Catalyst",6
"Sequoia Capital India",6
"Andreessen Horowitz",5
"Coatue Management",5
"General Atlantic",5
"Index Ventures",5
"Menlo Ventures",5
"American Express Ventures",4
"Coinbase Ventures",4
"Founders Fund",4
"Google Ventures",4
"Greycroft",4
"Kleiner Perkins Caufield & Byers",4
"SoftBank Group",4
"Union Square Ventures",4
"Valar Ventures",4
"Zeev Ventures",4
"Accomplice",3
"Bessemer Venture Partners",3
"BlackRock",3
"capitalG",3
"IDG Capital",3
"Jump Capital",3
"Kaszek Ventures",3
"Khosla Ventures",3
"Lightspeed Venture Partners",3
"Munich Re Ventures",3
"New Enterprise Associates",3
"PayPal Ventures",3
"QED Investors",3
"Sequoia Capital China",3
"Venrock",3
"Y Combinator",3
"8VC",2
"Activant Capital",2
"Addition",2
"BEENEXT",2
"Bezos Expeditions",2
"Caffeinated Capital",2
"Canapi Ventures",2
"Citi Ventures",2
"Clocktower Technology Ventures",2
"Connect Ventures",2
"Creandum",2
"D1 Capital Partners",2
"Dragoneer Investment Group",2
"Foundation Capital",2
"Global Founders Capital",2
"Goldman Sachs",2
"GreatPoint Ventures",2
"Hedosophia",2
"Institutional Venture Partners",2
"Left Lane Capital",2
"Lerer Hippeau",2
"Mithril Capital Management",2
"Monashees+",2
"Northzone Ventures",2
"Norwest Venture Partners",2
"Oak HC/FT Partners",2
"OMERS Ventures",2
"Pantera Capital",2
"Passion Capital",2
"Pelion Venture Partners",2
"Point72 Ventures",2
"Polychain Capital",2
"Qualcomm Ventures",2
"SBI Investment",2
"Shunwei Capital Partners",2
"Softbank Group",2
"Spark Capital",2
"Stripe",2
"SV Angel",2
"Target Global",2
"Technology Crossover Ventures",2
"Temasek",2
"Thoma Bravo",2
"Thrive Capital",2
"TTV Capital",2
"Uncork Capital",2
"Warburg Pincus",2
"WestCap Group",2
"01 Advisors",1
"10T Fund",1
"500 Startups",1
"A91 Partners",1
"Acton Capital Partners",1
"Advancit Capital",1
"Aleph",1
"Alibaba Entrepreneurs Fund",1
"Alpha JWC Ventures",1
"Alta Ventures Mexico",1
"Altimeter Capital",1
"Amadeus Capital Partners",1
"Amasia",1
"AME Cloud Ventures",1
"American Family Ventures",1
"Ant Group",1
"Anthemis",1
"Anthermis",1
"Ardian",1
"AU21",1
"Augmentum Fintech",1
"Ayala Corporation",1
"B Capital Group",1
"Bain Capital",1
"Bain Capital Credit",1
"Bain Capital Ventures",1
"Balderton Capital",1
"Benchmark",1
"Benhcmark",1
"Bitmain Technologies",1
"Blackrock",1
"Blackstone",1
"Bling Capital",1
"Blockchain Capital",1
"BlockTower Capital",1
"Blumberg Capital",1
"Blume Ventures",1
"Bnk To The Future",1
"BNP Paribas",1
"Bojiang Capital",1
"BOLDstart Ventures",1
"Bow Wave Capital",1
"British Patient Capital",1
"Cadenza Ventures",1
"Caisse de depot et placement du Quebec",1
"Carrick Capital Partners",1
"Centralway",1
"Charoen Pokphand Group",1
"Chicago Ventures",1
"China Media Group",1
"China Reform Fund",1
"Chuanrong Capital",1
"Clermont Group",1
"Cocnord Health Partners",1
"Coltrane Asset Management",1
"Commerce Ventures",1
"CommerzVentures",1
"ConsenSys Ventures",1
"Cox Enterprises",1
"CPP Investment Board",1
"Craft Ventures",1
"CRE Venture Capital",1
"Credit Suisse",1
"Crosslink Capital",1
"CVC Capital Partners",1
"Daphni",1
"Das Capital",1
"DCM Ventures",1
"Deciens Capital",1
"DFJ Growth Fund",1
"Digital Currency Group",1
"dmg ventures",1
"Doqling Capital Partners",1
"Dragonfly Captial",1
"Durable Capital Partners",1
"E Fund",1
"Earlybird Venture Capital",1
"Elaia Partners",1
"Electric Capital",1
"Emergence Capital Partners",1
"Endeavor",1
"Eniac Ventures",1
"Entree Capital",1
"Equal Ventures",1
"Eurazeo",1
"Expa",1
"F-Prime Capital",1
"Fairfax Financial Holdings",1
"Fidelity Investment",1
"FinVC",1
"FirstMark Capital",1
"Forerunner Ventures",1
"Founders",1
"Founders Fund. Accel",1
"Franklin Templeton",1
"FTV Capital",1
"Future Perfect Ventures",1
"Future Ventures",1
"Galaxy Interactive",1
"Gaocheng Capital",1
"Gaopeng Capital",1
"Gauss Ventures",1
"GCP Capital Partners",1
"Geekdom Fund",1
"General Catalyst Partners",1
"Georgian Partners",1
"GF Investments",1
"GGV Capital",1
"GoldenTree Asset Management",1
"Goodwater Capital",1
"Google",1
"Grab",1
"Green Visor Capital",1
"Greenoaks Capital Management",1
"Greyhound Capital",1
"Group 11",1
"Group11",1
"GS Growth",1
"Guangzhou Huiyin Aofeng Equity Investment Fund",1
"Gunosy Capital",1
"Guozhong Venture Capital Management",1
"Hanaco Venture Capital",1
"Hanwha Investment & Securities",1
"HarbourVest Partners",1
"Harvey Golub Family Office",1
"Highland Capital Partners",1
"Holtzbrinck Ventures",1
"Homebrew",1
"Hongdao Capital",1
"IA Ventures",1
"IAG Capital Partners",1
"ICONIQ Capital",1
"ICONIQ Growth",1
"Ideal International",1
"IDInvest Partners",1
"index Ventures",1
"Inflexion Private Equity",1
"Info Edge",1
"ING",1
"Insignia Ventures Partners",1
"Inspiration Ventures",1
"Intact Ventures",1
"International Finance Corporation",1
"Investment Corporation of Dubai",1
"Invus Group",1
"IQ Capital",1
"Iris Capital",1
"Israel Growth Partners",1
"JAFCO Co",1
"Javelin Venture Partners",1
"Jerusalem Venture Partners",1
"Jinhui Xingye",1
"JTC Group",1
"Juxtapose",1
"Kenetic Capital",1
"Kinnevik",1
"Kite Ventures",1
"KKR",1
"Koch Disruptive Technologies",1
"Lakestar",1
"LeapFrog Investments",1
"Liberty City Ventures",1
"Light Street Capital",1
"LocalGlobe",1
"LowercaseCapital",1
"MaC Venture Capital",1
