"name","n"
"Accel",14
"Insight Partners",11
"Index Ventures",10
"Lightspeed Venture Partners",9
"Tiger Global Management",9
"CRV",8
"General Catalyst",8
"Kleiner Perkins Caufield & Byers",8
"Sequoia Capital",7
"Andreessen Horowitz",6
"Bessemer Venture Partners",6
"ICONIQ Capital",6
"Y Combinator",6
"General Atlantic",5
"Google Ventures",5
"Redpoint Ventures",5
"Sequoia Capital China",5
"Sequoia Capital India",5
"Thrive Capital",5
"Battery Ventures",4
"Greylock Partners",4
"Institutional Venture Partners",4
"Khosla Ventures",4
"Silversmith Capital Partners",4
"SoftBank Group",4
"Storm Ventures",4
"Summit Partners",4
"Technology Crossover Ventures",4
"Threshold Ventures",4
"Atomico",3
"Benchmark",3
"Blackbird Ventures",3
"FirstMark Capital",3
"GGV Capital",3
"IDG Capital",3
"Jackson Square Ventures",3
"M12",3
"Matrix Partners",3
"Mayfield Fund",3
"New Enterprise Associates",3
"Norwest Venture Partners",3
"Salesforce Ventures",3
"Tencent Holdings",3
"Trinity Ventures",3
"True Ventures",3
"Advent International",2
"Alven Capital",2
"Bain Capital Ventures",2
"Balderton Capital",2
"Blackstone",2
"Caffeinated Capital",2
"Canaan Partners",2
"capitalG",2
"Coatue Management",2
"Comcast Ventures",2
"Elevation Capital",2
"Felicis Ventures",2
"Foundation Capital",2
"Founders Fund",2
"Georgian Partners",2
"Goldman Sachs Asset Management",2
"GSR Ventures",2
"KKR",2
"Linear Venture",2
"Meritech Capital Partners",2
"OpenView Venture Partners",2
"Pritzker Group Venture Capital",2
"Prosus Ventures",2
"Providence Equity Partners",2
"PSG",2
"Rembrandt Venture Partners",2
"Silver Lake",2
"Spectrum Equity",2
"Susquehanna Growth Equity",2
"T. Rowe Price",2
"3L",1
"500 Global",1
"8VC",1
"A&E Television Networks",1
"Accel Partners",1
"Access Industries",1
"Adams Street Partners",1
"Advance Venture Partners",1
"Ainge Advisory",1
"Airbus Ventures",1
"Aleph",1
"Alibaba Group",1
"AltaIR Capital",1
"Altimeter Capital",1
"Altos Ventures",1
"Alumni Ventures Group",1
"Anthem Venture Partners",1
"Ascension Ventures",1
"Astral Capital",1
"AXA Venture Partners",1
"Baidu",1
"Bain Capital Tech Opportunities",1
"Baseline Ventures",1
"BDT Capital Partners",1
"Bedrock Capital",1
"BEENEXT",1
"Beijing Juneng Hesheng Industry Investment Fund",1
"Beijing Shuju Xinrong Fund",1
"BlackRock",1
"Bloomberg Beta",1
"Blue Cloud Ventures",1
"Blumberg Capital",1
"Bond Capital",1
"Breyer Capital",1
"Carlson Private Capital Partners,/td>",1
"China Culture Industrial Investment Fund",1
"China Minsheng Investment Group",1
"CMC Capital Partners",1
"Coatue Managemeny",1
"Cobalt Capital",1
"Contour Venture Partners",1
"Core Capital Partners",1
"Costanoa Ventures",1
"Craft Ventures",1
"CRE Venture Capital",1
"Crosslink Capital",1
"Cybernaut Growth Fund",1
"D1 Capital Partners",1
"Danhua Capital",1
"Dark Horse Technology Group",1
"Data Collective",1
"Davidson Kempner Capital Management",1
"DFJ DragonFund",1
"DJF",1
"Draft Ventures",1
"Dragoneer Investment Group",1
"Draper Esprit",1
"Drive Capital",1
"Earlybird Venture Capital",1
"Eastern Bell Capital",1
"Eight Roads Ventures",1
"enaya Capital",1
"EQT Partners",1
"EQT Ventures",1
"ES Ventures",1
"Eurazeo",1
"European Founders Fund",1
"Fabric Ventures",1
"Falcon Edge Capital",1
"Fifth Wall Ventures",1
"First Round Capital",1
"Floodgate",1
"Formation 8",1
"Founder Collective",1
"Foundry Group",1
"Francisco Partners",1
"FreesFund",1
"FTV Capital",1
"Galaxy Interactive",1
"Genesis Capital",1
"Geodesic Capital",1
"Global Founders Capital",1
"Go-Ventures",1
"Goldcrest Capital",1
"Goldman Sachs",1
"Goodwater Capital",1
"Gradient Ventures",1
"Grayhawk Capital",1
"Harrison Metal",1
"HCA Healthcare",1
"Hearst Ventures",1
"Helion Venture Partners",1
"Hellman & Friedman",1
"Highland Capital Partners",1
"Highland Europe",1
"Hillsven Capital",1
"Hopu Investment Management",1
"HV Capital",1
"Hyde Park Venture Partners",1
"ICG",1
"ICONIQ Growth",1
"Ignition Partners",1
"IndexVentures",1
"India Quotient",1
"Initialized Capital",1
"Insight Venture Partners",1
"Insights Venture Partners",1
"ION Crossover Partners",1
"Javelin Venture Partners",1
"JD.com",1
"JMI Equity",1
"K9 Ventures",1
"Kaalari Capital",1
"Kae Capital",1
"Kefa Capital",1
"Kibo Ventures",1
"Knox Lane",1
"Lakestar",1
"Lead Edge Capital",1
"Liberty Gloval Ventures",1
"Lightspeed India Partners",1
"Lowercase Capital",1
"Lupa Systems",1
"Madrona Venture Group",1
"Madrone Capital Partners",1
"Matrix Partners China",1
"Maverick Capital",1
"Menlo Ventures",1
"MenloVentures",1
"MSA Capital",1
"Navitas Capital",1
"New Era Ventures",1
"Next World Capital",1
"Nexus Venture Partners",1
"Norma Investments",1
"North Bridge Growth Equity",1
"Northzone Ventures",1
"Nortzone Ventures",1
"Noshaq",1
"Nyca Partners",1
"Obvious Ventures",1
"OMERS Private Equity",1
"Omidyar Network",1
"Orange Digital Ventures",1
"Origin Ventures",1
"Owl Ventures",1
"Pantera Capital",1
"Picus Capital",1
"Ping An Insurance",1
"Pitango Venture Capital",1
"Polaris Partners",1
"Polychain Capital",1
"Presidio Ventures",1
"QED Investors",1
"Qualcomm Ventures",1
"Qualgro",1
"Quantum Energy Partners",1
"Rocketship.vc",1
"RRE Ventures+",1
"RTP Global",1
"Sapphire Ventures",1
"Scale Venture Partners",1
"Section 32",1
"SEEK",1
"Shasta Ventures",1
"Shunwei Capital Partners",1
"Sierra Ventures",1
"Sigma Prime Ventures",1
"Silicon Valley Bank",1
"Simon Equity Partners",1
"Sofinnova Partners",1
"Softbank Group",1
"Spark Capital",1
"Spotify",1
"Standard Crypto",1
"Steadview Capital",1
"Streamlined Ventures",1
"Stripes Group",1
"Struck Capital",1
"Taigang Venture Capital",1
"Tao Capital Partners",1
"The Carlyle Group",1
"Tiger Global management",1
"Uncork Capital",1
"Venrock",1
"Venture Highway",1
"VGames",1
"Vintage Investment Partners",1
"Vision Plus Capital",1
"Wavemaker Partners",1
"We Capital",1
"ZhenFund",1
