,Unnamed: 0,Company,Valuation ($B),Date Joined,Country,City,Industry,Investor 1,Investor 2,Investor 3,Investor 4
298,298,Uala,2.45,2021-08-13,Argentina,Buenos Aires,Fintech,Soros Fund Management,Ribbit Capital,Monashees+,
467,467,SafetyCulture,1.6,2021-05-03,Australia,Sydney,Internet software & services,Blackbird Ventures,IndexVentures,Tiger Global Management,
869,869,GO1,1.0,2021-07-19,Australia,Brisbane,Internet software & services,Y Combinator,M12,SEEK,
509,509,Culture Amp,1.5,2021-07-29,Australia,Richmond,Internet software & services,Felicis Ventures,Index Ventures,Blackbird Ventures,
117,117,Airwallex,5.5,2019-03-25,Australia,Melbourne,Fintech,DST Global,Sequoia Capital China,Tencent Holdings,
935,935,Pet Circle,1.0,2021-12-07,Australia,Alexandria,E-commerce & direct-to-consumer,Prysm Capital,Baillie Gifford & Co.,TDM Growth Partners,
4,4,Canva,40.0,2018-01-08,Australia,Surry Hills,Internet software & services,Sequoia Capital China,Blackbird Ventures,Matrix Partners,
443,443,GoStudent,1.7,2021-06-22,Austria,Vienna,Edtech,DN Capital,Left Lane Capital,Coatue Management,
151,151,BitPanda,4.11,2021-03-16,Austria,Vienna,Fintech,Speedinvest,Valar Ventures,Uniqa Ventures,
107,107,Collibra,5.25,2019-01-29,Belgium,Brussels,Data management & analytics,Index Ventures,Battery Ventures,ICONIQ Capital,
321,321,Odoo,2.3,2021-07-29,Belgium,Louvain-la-Neuve,Internet software & services,Summit Partners,Noshaq,Sofinnova Partners,
459,459,Afiniti,1.6,2017-04-14,Bermuda,Hamilton,Artificial intelligence,GAM Holding,,,
758,758,iFood,1.0,2018-11-13,Brazil,Osasco,Supply chain logistics & delivery,Movile,Just Eat,Naspers,
112,112,C6 Bank,5.05,2020-12-02,Brazil,Sao Paulo,Fintech,Credit Suisse,,,
798,798,MadeiraMadeira,1.0,2021-01-07,Brazil,Parana,E-commerce & direct-to-consumer,Flybridge Capital Partners,SoftBank Group,Monashees+,
776,776,EBANX,1.0,2019-10-16,Brazil,Curitiba,Fintech,FTV Capital,Endeavor,,
873,873,Unico,1.0,2021-08-03,Brazil,Sao Paulo,Artificial intelligence,Big Bets,General Atlantic,SOFTBANK Latin America Ventures,
430,430,Creditas,1.75,2020-12-18,Brazil,Sao Paulo,Fintech,Kaszek Ventures,Amadeus Capital Partners,Quona Capital,
744,744,Movile,1.0,2018-07-12,Brazil,Sao Paulo,Mobile & telecommunications,Innova Capital - FIP,3G Capital Management,Prosus Ventures,
338,338,1,2.15,2021-09-08,Brazil,Sao Paulo,Fintech,Plug and Play Ventures,Valor Capital Group,DST Global,
908,908,CargoX,1.0,2021-10-21,Brazil,Sao Paulo,Supply chain logistics & delivery,Valor Capital Group,Lightrock,Softbank Group,
233,233,Wildlife Studios,3.0,2019-12-05,Brazil,Sao Paulo,Other,Benchmark,Bessemer Venture Partners,,
111,111,QuintoAndar,5.1,2019-09-09,Brazil,Campinas,E-commerce & direct-to-consumer,Kaszek Ventures,General Atlantic,SoftBank Group,
264,264,Loft,2.9,2020-01-03,Brazil,Sao Paulo,E-commerce & direct-to-consumer,Monashees+,Andreessen Horowitz,QED Investors,
223,223,Nuvemshop,3.1,2021-08-17,Brazil,Sao Paulo,E-commerce & direct-to-consumer,Kaszek Ventures,Qualcomm Ventures,Accel,
8,8,Nubank,30.0,2018-03-01,Brazil,Sao Paulo,Fintech,Sequoia Capital,Redpoint e.ventures,Kaszek Ventures,
385,385,Loggi,2.0,2019-06-05,Brazil,Sao Paulo,Supply chain logistics & delivery,Qualcomm Ventures,SoftBank Group. Monashees+,,
876,876,Freshbooks,1.0,2021-08-10,Canada,Toronto,Fintech,Accomplice,Oak Investment Partners,Georgian Partners,
65,65,Dapper Labs,7.6,2021-03-30,Canada,Vancouver,Fintech,Union Square Ventures,Venrock,Andreessen Horowitz,
466,466,Clio,1.6,2021-04-27,Canada,Burnaby,Internet software & services,OMERS Private Equity,T. Rowe Price,Technology Crossover Ventures,
601,601,Nexii,1.23,2021-09-08,Canada,Vancouver,Other,Trane Technologies,Honeywell,,
375,375,Clearco,2.0,2021-04-20,Canada,Toronto,Fintech,Highland Capital Partners,Oak HC/FT Partners,Emergence Capital Partners,
431,431,Trulioo,1.75,2021-06-07,Canada,Vancouver,Cybersecurity,Blumberg Capital,American Express Ventures,BDC Venture Capital,
149,149,SSENSE,4.15,2021-06-08,Canada,Montreal,E-commerce & direct-to-consumer,Sequoia Capital,,,
856,856,Visier,1.0,2021-06-29,Canada,Vancouver,Internet software & services,Foundation Capital,Summit Partners,Adams Street Partners,
835,835,TensTorrent,1.0,2021-05-05,Canada,Toronto,Artificial intelligence,Eclipse Ventures,Fidelity Investments,Moore Capital Management,
388,388,1Password,2.0,2021-07-08,Canada,Toronto,Cybersecurity,Slack Fund,Accel,Skip Capital,
161,161,PointClickCare,4.0,2021-01-07,Canada,Mississauga,Internet software & services,Dragoneer Investment Group,Hellman & Friedman,JMI Equity,
235,235,ApplyBoard,3.0,2020-05-05,Canada,Kitchener,Edtech,Artiman Ventures,Plug and Play Ventures,Anthos Capital,
216,216,Blockstream,3.2,2021-08-24,Canada,Vancouver,Fintech,AME Cloud Ventures,Future Perfect Ventures,Blockchain Capital,
248,248,Hopper,3.0,2021-03-24,Canada,Montreal,Travel,Capital One Growth Ventures,Citi Ventures,OMERS Ventures,
621,621,Ada Support,1.2,2021-05-07,Canada,Toronto,Artificial intelligence,Version One Ventures,Bessemer Venture Partners,FirstMark Capital,
508,508,NotCo,1.5,2021-07-26,Chile,Santiago,Artificial intelligence,Kaszek Ventures,SOSV,Tiger Global Management,
735,735,WeLab,1.0,2017-11-08,China,Hong Kong,Fintech,Sequoia Capital China,ING,Alibaba Entrepreneurs Fund,
748,748,Medlinker,1.0,2018-07-31,China,Chengdu,Health,China Health Industry Investment Fund,China Renaissance,and Sequoia Capital China,
359,359,4Paradigm,2.0,2018-12-19,China,Beijing,Artificial intelligence,Sequoia Capital China,China Construction Bank,Bank of China,
366,366,Keep,2.0,2020-05-19,China,Beijing,Mobile & telecommunications,Bertelsmann Asia Investments,GGV Capital,Morningside Venture Capital,
747,747,Wacai,1.0,2018-07-18,China,Hangzhou,Mobile & telecommunications,Qiming Venture Partners,China Broadband Capital,CDH Investments,
364,364,Kujiale,2.0,2019-10-25,China,Hangzhou,Internet software & services,GGV Capital,IDG Capital,Linear Venture,
745,745,Kuaigou Dache,1.0,2018-07-13,China,Tianjin,Supply chain logistics & delivery,Sequoia Capital China,InnoVision Capital,Qianhai Fund of Funds,
733,733,YH Global,1.0,2017-09-21,China,Shenzhen,Supply chain logistics & delivery,Co-Energy Finance,Grandland,,
362,362,Mafengwo,2.0,2019-05-23,China,Beijing,Travel,Qiming Venture Partners,Capital Today,General Atlantic,
742,742,LinkDoc Technology,1.0,2018-07-05,China,Beijing,Health,China Investment Corporation,New Enterprise Associates,,
741,741,China Cloud,1.0,2018-06-11,China,Wuxi,Hardware,V Star Capital,GF Xinde Investment Management Co.,Haitong Leading Capital Management,
740,740,Huike Group,1.0,2018-05-24,China,Beijing,Edtech,Fosun RZ Capital,Oceanwide Holdings,Shenzhen Qianhe Capital Management Co.,
349,349,Trendy Group International,2.0,2012-02-13,China,Kowloon,Consumer & retail,L Capital Partners,,,
736,736,Maimai,1.0,2017-11-15,China,Beijing,Mobile & telecommunications,Morningside Venture Capital,IDG Capital,DCM Ventures,
737,737,Dxy.cn,1.0,2018-04-10,China,Hangzhou,Health,Tencent Holdings,DCM Ventures,,
351,351,Tubatu.com,2.0,2015-03-09,China,Shenzhen,E-commerce & direct-to-consumer,Sequoia Capital China,Matrix Partners China,58.com,
738,738,Orbbec Technology,1.0,2018-05-21,China,Shenzhen,Hardware,R-Z Capital,Green Pine Capital Partners,SAIF Partners China,
